A00.0,Cholera wywołana przecinkowcem klasycznym Vibrio cholerae 01, biotyp cholerae
A00.1,Cholera wywołana przecinkowcem Vibrio cholerae 01, biotyp El-Tor
A00.9,Cholera, nieokreślona
A01.0,Dur brzuszny
D69.4,Inne pierwotne małopłytkowości
D69.5,Małopłytkowość wtórna
D69.6,Nieokreślona małopłytkowość
D69.8,Inne określone skazy krwotoczne
D69.9,Skazy krwotoczne, nie określone
D70,Agranulocytoza
D71,Zaburzenia czynności granulocytów wielojądrzastych
D72.0,Genetyczne nieprawidłowości leukocytów
D72.1,Eozynofilia
D72.8,Inne określone zaburzenia dotyczące krwinek białych
D72.9,Nieokreślone zaburzenia dotyczące krwinek białych
D73.0,"Hiposplenizm"
D73.1,"Hipersplenizm"
D73.2,Przewlekła splenomegalia zastoinowa
D73.3,Ropień śledziony
D73.4,Torbiel śledziony
D73.5,Zawał śledziony
D73.8,Inne choroby śledziony
D73.9,Nieokreślona choroba śledziony
D74.0,Methemoglobinemia wrodzona
D74.8,Inne methemoglobinemie
D74.9,Nieokreślona methemoglobinemia
D75.0,Erytrocytoza rodzinna
D75.1,Nadkrwistość wtórna
D75.2,Nadpłytkowość samoistna
D75.8,Inne określone choroby krwi i narządów krwiotwórczych
D75.9,Choroby krwi i narządów krwiotwórczych, nieokreślone
D76.0,Histiocytoza z komórek Langerhansa niesklasyfikowana gdzie indziej
D76.1,Lymfohistiocytoza z erytrofagocytozą
D76.2,Zespół hemofagocytowy związany z zakażeniem
D76.3,Inne zespoły histiocytowe
D77,Inne choroby krwi i narządów krwiotwórczych w przebiegu chorób sklasyfikowanych gdzie indziej
D80.0,Dziedziczna hipogammaglobulinemia
D80.1,Nierodzinna hipogammaglobulinemia
D80.2,Wybiórczy niedobór immunoglobulin a (IgA)
D80.3,Wybiórczy niedobór podklas immunoglobulin G (IgG)
D80.4,Wybiórczy niedobór immunoglobulin M (IgM)
D80.5,Niedobór odporności ze zwiększonym stężeniem immunoglobulin M (IgM)
D80.6,Niedobór przeciwciał ze stężeniem immunoglobulin zbliżonym do normy lub z hiperimmunoglobulinemią
D80.7,Przejściowa hipogammaglobulinemia dziecięca
D80.8,Inne niedobory odporności z przewagą defektów przeciwciał
D80.9,Nieokreślony niedobór odporności z przeważającym defektem przeciwciał
D81.0,Ciężki złożony niedobór odporności (SCID) z dysgenezją siateczki
D81.1,Ciężki złożony niedobór odporności (SCID) z małą liczebnością komórek T i B
D81.2,Ciężki złożony niedobór odporności (SCID) z normalną lub obniżoną liczebnością komórek B
D81.3,Niedobór deaminazy adenozyny (ADA)
D81.4,Zespół Nezelofa
D81.5,Niedobór purynowej fosforylazy nukleozydowej (PNP)
D81.6,Niedobór determinantów głównego układu antygenów zgodności tkankowej klasy I
D81.7,Niedobór determinantów głównego układu antygenów zgodności tkankowej klasy II
D81.8,Inne złożone niedobory odporności
D81.9,Nieokreślone złożone niedobory odporności
D82.0,Zespół Wiskotta-Aldricha
D82.1,Zespół Di George'a
D82.2,Niedobór odporności z karłowatością
D82.3,Niedobór odporności towarzyszący dziedzicznej wadliwej odpowiedzi na zakażenie wirusem Epstein-Bar
D82.4,Zespół hiperimmunoglobulinemii E(IgE)
D82.8,Niedobór odporności skojarzony z innymi określonymi poważnymi wadami
D82.9,Nieokreślony niedobór odporności skojarzony z poważnymi wadami
D83.0,Pospolity zmienny niedobór odporności z przewagą zaburzeń funkcji lub liczebności komórek B
D83.1,Pospolity zmienny niedobór odporności z przewagą zaburzeń dotyczących immunoregulacyjnych komórek
D83.2,Pospolity zmienny niedobór odporności z przeciwciałami przeciwko komórkom B lub T
D83.8,Inne pospolite zmienne niedobory odpornościowe
D83.9,Nieokreślony pospolity zmienny niedobór odporności
D84.0,Defekt dotyczący czynności antygenu-1 limfocyta (LFA-1)
D84.1,Zaburzenia układu dopełniacza
D84.8,Inne określone niedobory odporności
D84.9,Nieokreślony niedobór odporności
D86.0,Sarkoidoza płucna
D86.1,Sarkoidoza węzłów chłonnych
D86.2,Sarkoidoza płucna współistniejąca z sarkoidozą węzłów chłonnych
D86.3,Sarkoidoza skórna
D86.8,Sarkoidoza innych narządów oraz wielonarządowa
D86.9,Nieokreślona sarkoidoza
D89.0,Hipergammaglobulinemia poliklonalna
D89.1,Krioglobulinemia
D89.2,Nieokreślona hipergammaglobulinemia
D89.8,Inne określone zaburzenia przebiegające z udziałem mechanizmów immunologicznych niesklasyfikowane gdzie indziej
D89.9,Nieokreślone zaburzenia przebiegające z udziałem mechanizmów immunologicznych
E00.0,Wrodzony zespół niedoboru jodu, typ neurologiczny
E00.1,Wrodzony zespół niedoboru jodu, typ obrzęku śluzowatego
E00.2,Wrodzony zespół niedoboru jodu, typ mieszany
E00.9,Wrodzony zespół niedoboru jodu, nieokreślony
E01.0,Rozlane (endemiczne) wole z powodu niedoboru jodu
E01.1,Wieloguzkowe (endemiczne) wole z powodu niedoboru jodu
E01.2,Wole z powodu niedoboru jodu (endemiczne), nieokreślone
E01.8,Inne choroby tarczycy z powodu niedoboru jodu i pokrewnych przyczyn
E02,Subkliniczna postać niedoczynności tarczycy z powodu niedoboru jodu
E03.0,Wrodzona niedoczynność tarczycy z wolem rozlanym
E03.1,Wrodzona niedoczynność tarczycy bez wola
E03.2,Niedoczynność tarczycy w wyniku zastosowanego leczenia lub innych egzogennych substancji
E03.3,Niedoczynność tarczycy po przebytej infekcji
E03.4,Zanik tarczycy (nabyty)
E03.5,Śpiączka w obrzęku śluzakowatym
E03.8,Inne określone postacie niedoczynności tarczycy
E03.9,Niedoczynność tarczycy, nieokreślona
E04.0,Wole nietoksyczne, rozlane
E04.1,Guzek tarczycy pojedynczy, nietoksyczny
E04.2,Wole wieloguzkowe, nietoksyczne
E04.8,Wole nietoksyczne, inne określone
E04.9,Wole nietoksyczne, nieokreślone
E05.0,Tyreotoksykoza z rozlanym wolem
E05.1,Tyreotoksykoza z pojedynczym toksycznym guzkiem
E05.2,Tyreotoksykoza w wolu wieloguzkowym, toksycznym
E05.3,Tyreotoksykoza wywołana ektopowymi guzkami tkanki tarczycy
E05.4,Tyreotoksykoza wywołana sztucznie
E05.5,Przełom tarczycowy
E05.8,Inne tyreotoksykozy
E05.9,Tyreotoksykoza, nieokreślona
E06.0,Zapalenie tarczycy ostre
E06.1,Zapalenie tarczycy podostre
E06.2,Zapalenie tarczycy przewlekle z przemijającą tyreotoksykozą
E06.3,Zapalenie tarczycy autoimmunologiczne
E06.4,Zapalenie tarczycy polekowe
E06.5,Zapalenia tarczycy przewlekłe, inne
E06.9,Zapalenie tarczycy, nieokreślone
E07.0,Nadmierne wydzielanie kalcytoniny
E07.1,Wole związane z dyshormonozą
E07.8,Inne, określone choroby tarczycy
E07.9,Choroby tarczycy, nieokreślone
E10.0,Cukrzyca insulinozależna (ze śpiączką)
E10.1,Cukrzyca ionsulinozależna (z kwasicą ketonową)
E10.2,Cukrzyca insulinozależna (z powikłaniami nerkowymi)
E10.3,Cukrzyca insulinozależna (z powikłaniami ocznymi)
E10.4,Cukrzyca insulinozależna (z powikłaniami neurologicznymi)
E10.5,Cukrzyca insulinozależna (z powikłaniami w zakresie krążenia obwodowego)
E10.6,Cukrzyca insulinozależna (z innymi określonymi powikłaniami)
E10.7,Cukrzyca insulinozależna (z wieloma powikłaniami)
E10.8,Cukrzyca insulinozależna (z nieokreślonymi powikłaniami)
E10.9,Cukrzyca insulinozależna (bez powikłań)
E11.0,Cukrzyca insulinoniezależna (ze śpiączką)
E11.1,Cukrzyca insulinoniezależna (z kwasicą ketonową)
E11.2,Cukrzyca insulinoniezależna (z powikłaniami nerkowymi)
E11.3,Cukrzyca insulinoniezależna (z powikłaniami ocznymi)
E11.4,Cukrzyca insulinoniezależna (z powikłaniami neurologicznymi)
E11.5,Cukrzyca insulinoniezależna (z powikłaniami w zakresie krążenia obwodowego)
E11.6,Cukrzyca insulinoniezależna (z innymi określonymi powikłaniami)
E11.7,Cukrzyca insulinoniezależna (z wieloma powikłaniami)
E11.8,Cukrzyca insulinoniezależna (z nieokreślonymi powikłaniami)
E11.9,Cukrzyca insulinoniezależna (bez powikłań)
E12.0,Cukrzyca związana z niedożywieniem (ze śpiączką)
E12.1,Cukrzyca związana z niedożywieniem ( z kwasicą ketonową)
E12.2,Cukrzyca związana z niedożywieniem (z powikłaniami nerkowymi)
E12.3,Cukrzyca związana z niedożywieniem (z powikłaniami ocznymi)
E12.4,Cukrzyca związana z niedożywieniem (z powikłaniami neurologicznymi)
E12.5,Cukrzyca związana z niedożywieniem (z powikłaniami w zakresie krążenia obwodowego)
E12.6,Cukrzyca związana z niedożywieniem (z innymi określonymi powikłaniami)
E12.7,Cukrzyca związana z niedożywieniem (z wieloma powikłaniami)
E12.8,Cukrzyca związana z niedożywieniem (z nieokreślonymi powikłaniami)
E12.9,Cukrzyca związana z niedożywieniem (bez powikłań)
E13.0,Inne określone postacie cukrzycy (ze śpiączką)
E13.1,Inne określone postacie cukrzycy (z kwasicą ketonową)
E13.2,Inne określone postacie cukrzycy (z powikłaniami nerkowymi)
E13.3,Inne określone postacie cukrzycy (z powikłaniami ocznymi)
E13.4,Inne określone postacie cukrzycy (z powikłaniami neurologicznymi)
E13.5,Inne określone postacie cukrzycy (z powikłaniami w zakresie krążenia obwodowego)
E13.6,Inne określone postacie cukrzycy (z innymi określonymi powikłaniami)
E13.7,Inne określone postacie cukrzycy (z wieloma powikłaniami)
E13.8,Inne określone postacie cukrzycy (z nieokreślonymi powikłaniami)
E13.9,Inne określone postacie cukrzycy (bez powikłań)
E14.0,Cukrzyca, nieokreślona (ze śpiączką)
E14.1,Cukrzyca nieokreślona (z kwasicą ketonową)
E14.2,Cukrzyca nieokreślona (z powikłaniami nerkowymi)
E14.3,Cukrzyca nieokreślona (z powikłaniami ocznymi)
E14.4,Cukrzyca nieokreślona (z powikłaniami neurologicznymi)
E14.5,Cukrzyca nieokreślona (z powikłaniami w zakresie krążenia obwodowego)
E14.6,Cukrzyca nieokreślona (z innymi określonymi powikłaniami)
E14.7,Cukrzyca nieokreślona (z wieloma powikłaniami)
E14.8,Cukrzyca nieokreślona (z nieokreślonymi powikłaniami)
E14.9,Cukrzyca nieokreślona (bez powikłań)
E15,Śpiączka hipoglikemiczna niecukrzycowa
E16.0,Polekowa hipoglikemia bez śpiączki
E16.1,Inne hipoglikemie
E16.2,Hipoglikemia, nieokreślona
E16.3,Nadmierne wydzielanie glukagonu
E16.8,Inne określone zaburzenia wydzielania wewnętrznego trzustki
E16.9,Zaburzenia wydzielania wewnętrzego trzustki, nieokreślone
E20.0,Niedoczynność przytarczyc idiopatyczna
E20.1,Rzekoma niedoczynność przytarczyc
E20.8,Niedoczynność przytarczyc, inna
E20.9,Niedoczynność przytarczyc, nieokreślona
E21.0,Pierwotna nadczynność przytarczyc
E21.1,Wtórna nadczynność przytarczyc nigdzie indziej niesklasyfikowana
E21.2,Nadczynność przytarczyc, inna
E21.3,Nadczynność porzytarczyc, nieokreślona
E21.4,Inne określone choroby przytarczyc
E21.5,Choroby przytarczyc, nieokreślone
E22.0,Akromegalia i gigantyzm przysadkowy
E22.1,Hiperprolaktynemia
E22.2,Zespół niewłaściwego wydzielania hormonu antydiuretycznego
E22.8,Inna postać nadczynności przysadki
E22.9,Nadczynność przysadki, nieokreślona
E23.0,Niedoczynność przysadki
E23.1,Niedoczynność przysadki jatrogenna
E23.2,Moczówka prosta
E23.3,Zaburzenia funkcji podwzgórza gdzie indziej niesklasyfikowane
E23.6,Inne choroby przysadki
E24.0,Choroba Cushinga pochodzenia przysadkowego
E24.1,Zespół Nelsona
E24.2,Polekowy zespół Cushinga
E24.3,Zespół zależny od ektopowego wydzielania ACTH
E24.4,Zespół pseudo-Cushinga u alkoholików
E24.8,Zespół Cushinga, inny
E24.9,Zespół Cushinga, nieokreślony
E25.0,Wrodzone zespoły nadnerczowo-płciowe związane z niedoborem enzymów
E25.8,Zespoły nadnerczowo-płciowe, inne
E25.9,Zespół nadnerczowo-płciowy, nieokreślony
E26.0,Pierwotny hiperaldosteronizm
E26.1,Wtórny hiperaldosteronizm
E26.8,Inne zespoły z hiperaldosteronizmem
E26.9,Hiperaldosteronizm, nieokreślony
E27.0,Inne zespoły z nadczynnością kory nadnerczy
E27.1,Pierwotna niedoczynność kory nadnerczy
E27.2,Przełom addisonoidalny
E27.3,Niedoczyność kory nadnerczy polekowa
E27.4,Inne i nieokreślone przyczyny niedoczynności kory nadnerczy
E27.5,Nadczynność rdzenia nadnerczy
E27.8,Inne określone choroby nadnerczy
E27.9,Choroby nadnerczy, nieokreślone
E28.0,Nadmiar estrogenów (hiperestrogenizm)
E28.1,Nadmiar androgenów (hiperandrogenizm)
E28.2,Zespół policystycznych jajników
E28.3,Pierwotna niewydolność jajników
E28.8,Inne zaburzenia czynności jajników
E28.9,Zaburzenie czynności jajników, nieokreślone
E29.0,Nadczynność jąder
E29.1,Niedoczynność jąder
E29.8,Inne zaburzenia czynności jąder
E29.9,Zaburzenia czynności jąder, nieokreślone
E30.0,Opóźnione pokwitanie
E30.1,Przedwczesne pokwitanie
E30.8,Inne zaburzenia pokwitania
E30.9,Zaburzenia pokwitania, nieokreślone
E31.0,Wielogruczołowa niewydolność autoimmunologiczna
E31.1,Wielogruczołowa nadczynność
E31.8,Inne zaburzenia wielogruczołowe
E31.9,Wielogruczołowe zaburzenia, nieokreślone
E32.0,Utrzymujący się przerost grasicy
E32.1,Ropień grasicy
E32.8,Inne choroby grasicy
E32.9,Choroby grasicy, nieokreślone
E34.0,Zespół rakowiaka
E34.1,Inne nadmierne wydzielanie hormonów pochodzenia jelitowego
E34.2,Ektopowe wydzielanie hormonów, gdzie indziej niesklasyfikowane
E34.3,Karłowatość, gdzie indziej niesklasyfikowana
E34.4,Konstytucjonalny wysoki wzrost
E34.5,Zespół oporności androgennej
E34.8,Inne określone zaburzenia wewnątrzwydzielnicze
E34.9,Zaburzenia wewnątrzwydzielnicze, nieokreślone
E35.0,Zaburzenia czynności tarczycy w schorzeniach gdzie indziej niesklasyfikowanych
E35.1,Zaburzenia czynności nadnerczy w schorzeniach gdzie indziej niesklasyfikowanych
E35.8,Inne zaburzenia gruczołów wydzielania wewnętrznego w schorzeniach gdzie indziej niesklasyfikowanych
E40,Kwashiorkor
E41,Wyniszczenie z niedożywienia
E42,Kwashiorkor z wyniszczeniem
E43,Ciężkie niedożywienie białkowo-energetyczne, nieokreślone
E44.0,Niedożywienie białkowo-energetyczne, umiarkowane
E44.1,Niedożywienie białkowo-energetyczne łagodne
E45,Opóźniony rozwój będący następstwem niedożywienia białkowo-energetycznego
E46,Niedożywienie białkowo-energetyczne, nieokreślone
E50.0,Niedobor witaminy A z suchością spojówek
E50.1,Niedobór witaminy A z plamkami Bitota i suchością spojówek
E50.2,Niedobór witaminy A z suchością rogówek
E50.3,Niedobór witaminy A z owrzodzeniem rogówki i suchością rogówek
E50.4,Niedobór witaminy A z keratomalacją
E50.5,Niedobor witaminy A ze ślepotą nocną (kurzą, zmierzchowa)
E50.6,Niedobór witaminy A z bliznami na skutek suchości rogówek
E50.7,Inne cechy oczne niedoboru witaminy A
E50.8,Inne objawy niedoboru witamaminy A
E50.9,Niedobór witaminy A, nieokreślony
E51.1,Beri-beri
E51.2,Encefalopatia Wernickiego
E51.8,Inne objawy niedoboru tiaminy
E51.9,Niedobór tiaminy, nieokreślony
E52,Niedobór niacyny [pellagra]
E53.0,Niedobór ryboflawiny
E53.1,Niedobór pirydoksyny
E53.8,Niedobór innych określonych witamin z grupy B
E53.9,Niedobór witamin z grupy B, nieokreślony
E54,Niedobór kwasu askorbinowego
E55.0,Krzywica, czynna
E55.9,Niedobór witaminy D, nieokreślony
E56.0,Niedobór witaminy E
E56.1,Niedobór witaminy K
E56.8,Niedobory innych witamin
E56.9,Niedobór witamin, nieokreślony
E58,Niedobór pokarmowy wapnia
E59,Niedobór pokarmowy selenu
E60,Niedobór pokarmowy cynku
E61.0,Niedobór miedzi
E61.1,Niedobór żelaza
E61.2,Niedobór magnezu
E61.3,Niedobór manganu
E61.4,Niedobór chromu
E61.5,Niedobór molibdenu
E61.6,Niedobór wanadu
E61.7,Niedobór wielu elementów pokarmowych
E61.8,Niedobór innych określonych elementów pokarmowych
E61.9,Niedobór innych elementów pokarmowych, nieokreślony
E63.0,Niedobory niezbędnych kwasów tłuszczowych [EFA]
E63.1,Zaburzenie bilansu składników pokarmowych
E63.8,Inne określone niedobory pokarmowe
E63.9,Inne niedobory pokarmowe, nieokreślone
E64.0,Następstwa niedoborów białkowo-energetycznych
E64.1,Następstwa niedoboru witaminy A
E64.2,Następstwa niedoboru witaminy C
E64.3,Następstwa krzywicy
E64.8,Następstwa innych niedoborów pokarmowych
E64.9,Inne nieokreślone niedobory pokarmowe
E65,Otyłość miejscowa
E66.0,Otyłość spowodowana nadmierną podażą energii
E66.1,Otyłość polekowa
E66.2,Ciężka otyłość z hipowentylacją pęcherzykową
E66.8,Inne postacie otyłości
E66.9,Otyłość, nieokreślona
E67.0,Hiperwitaminoza A
E67.1,Hiperkarotynemia
E67.2,Zespół przedawkowania witaminy B6
E67.3,Hiperwitaminoza D
E67.8,Inne określone hiperalimentacje
E70.0,Klasyczna fenyloketonuria
E70.1,Inne hyperfenyloalaninemie
E70.2,Zaburzenia przemian tyrozyny
E70.3,Bielactwo [albinizm]
E70.8,Inne zaburzenia metabolizmu aminokwasów aromatycznych
E70.9,Zaburzenia przemian aminokwasów aromatycznych, nieokreślone
E71.0,Choroba syropu klonowego
E71.1,Inne zaburzenia metabolizmu aminokwasów rozgałęzionych
E71.2,Zaburzenia przemiany aminokwasów rozgałęzionych, nieokreślone
E71.3,Zaburzenia przemian kwasów tłuszczowych
E72.0,Zaburzenia transportu aminokwasów
E72.1,Zaburzenia przemian aminokwasów zawierających siarkę
E72.2,Zaburzenia przemian cyklu mocznikowego
E72.3,Zaburzenia metabolizmu lizyny i hydroksylizyny
E72.4,Zaburzenia metabolizmu ornityny
E72.5,Zaburzenia przemian glicyny
E72.8,Inne określone zaburzenia przemian aminokwasów
E72.9,Zaburzenia przemian aminokwasów, nieokreślone
E73.0,Wrodzony niedobór laktazy
E73.1,Wtórny niedobór laktazy
E73.8,Inna nietolerancja laktozy
E73.9,Nietolerancja laktozy, nieokreślona
E74.0,Choroba spichrzeniowa glikogenu
E74.1,Zaburzenia przemian fruktozy
E74.2,Zaburzenia metabolizmu galaktozy
E74.3,Inne zaburzenia wchłaniania jelitowego węglowodanów
E74.4,Zaburzenia przemiany pirogronianu i glukoneogenezy
E74.8,Inne określone zaburzenia metabolizmu węglowodanów
E74.9,Zaburzenia przemiany węglowodanów, nieokreślone
E75.0,GM2 gangliozydoza
E75.1,Inne gangliozydozy
E75.2,Inne sfingolipidozy
E75.3,Sfingolipidoza, nieokreślona
E75.4,Lipofuscynoza neuronalna
E75.5,Inne zaburzenia spichrzania lipidów
E75.6,Zaburzenia spichrzania lipidów, nieokreślone
E76.0,Mukopolisacharydoza, typ I
E76.1,Mukopolisacharydoza, typ II
E76.2,Inne mukopolisacharydozy
E76.3,Mukopolisacharozy, nieokreślone
E76.8,Inne zaburzenia przemiany glikozoaminoglikanów
E76.9,Zaburzenia przemiany glikozoaminoglikanów, nieokreślone
E77.0,Zaburzenia post-translacyjnej modyfikacji enzymów lizosomalnych
E77.1,Zaburzenia degradacji glikoprotein
E77.8,Inne zaburzenia przemiany glikoprotein
E77.9,Zaburzenia przemian glikoprotein, nieokreślone
E78.0,Czysta hypercholesterolemia
E78.1,Czysta hyperglicerydemia
E78.2,Hyperlipidemia mieszana
E78.3,Hyperchylomikronemia
E78.4,Inne hyperlipidemie
E78.5,Niedobór lipoprotein
E78.8,Inne zaburzenia przemian lipidów
E78.9,Zaburzenia przemian lipidów, nieokreślone
E79.0,Hiperurikemia bez objawów zapalenia stawów i obecności guzków dnawych
E79.1,Zespól Lesch-Nyhana
E79.8,Inne zaburzenia przemian puryn i pirymidyn
E79.9,Zaburzenia przemiany puryn i pirymidyn, nieokreślone
E80.0,Porfiria erytropoetyczna dziedziczna
E80.1,Porfiria skórna, późna
E80.2,Porfirie inne
E80.3,Defekty katalazy i peroksydazy
E80.4,Zespół Gilberta
E80.5,Zespół Crigler-Najjara
E80.6,Zaburzenia przemian bilirubiny, inne
E80.7,Zaburzenia przemian bilirubiny, nieokreślone
E83.0,Zaburzenia przemian miedzi
E83.1,Zaburzenia przemiany żelaza
E83.2,Zaburzenia przemian cynku
E83.3,Zaburzenia przemian fosforu
E83.4,Zaburzenia przemian magnezu
E83.5,Zaburzenia przemian wapnia
E83.8,Inne zaburzenia przemiany mineralnej
E83.9,Zaburzenia przemiany mineralnej, nieokreślone
E84.0,Zwłóknienie wielotorbielowate z objawami płucnymi [postać płucna]
E84.1,Zwłóknienie wielotorbielowate z objawami jelitowymi [postać brzuszna]
E84.8,Zwłóknienie wielotorbielowate z innymi objawami
E84.9,Zwłóknienie wielotorbielowate, nieokreślone
E85.0,Skrobiawice układowe dziedziczne lub rodzinne, postać nieneuropatyczna:
E85.1,Skrobiawica układowa dziedziczna lub rodzinna, postać neuropatyczna
E85.2,Skrobiawica układowa dziedziczna lub rodzinna, nieokreślona
E85.3,Wtórne amyloidozy narządowe
E85.4,Zlokalizowane (narządowe) odkładanie się mas skrobiowatych
E85.8,Inne amyloidozy
E85.9,Amyloidoza, nieokreślona
E86,Nadmierna utrata płynów
E87.0,Hiperosmolarność i hiponatremia
E87.1,Hipoosmolarność i hiponatremia
E87.2,Kwasica
E87.3,Alkaloza
E87.4,Mieszane zaburzenia równowagi kwasowo-zasadowej
E87.5,Hiperkaliemia
E87.6,Hipokaliemia
E87.7,Nadmiar płynu
E87.8,Inne zaburzenia równowagi elektrolitowej i płynowej, niesklasyfikowane gdzie indziej
E88.0,Zaburzenia przemian białek osocza niesklasyfikowane gdzie indziej
E88.1,Lipodystrofia, niesklasyfikowana gdzie indziej
E88.2,Lipomatoza, niesklasyfikowana gdzie indziej
E88.8,Inne określone zaburzenia metaboliczne
E88.9,Zaburzenia metaboliczne, nieokreślone
E89.0,Niedoczynność tarczycy po zabiegach
E89.1,Hipoinsulinemia po zabiegach
E89.2,Niedoczynność przytarczyc po zabiegach
E89.3,Niedoczynność przysadki po zabiegach
E89.4,Niedoczynność jajników po zabiegach
E89.5,Niedoczynność jąder po zabiegach
E89.6,Niedoczynność kory (rdzenia) nadnerczy po zabiegach
E89.8,Inne zaburzenia wydzielania wewnętrznego i metaboliczne
E89.9,Zaburzenia wydzielania wewnętrznego i metaboliczne, nieokreślone
E90,Zaburzenia odżywiania i metaboliczne w chorobach gdzie indziej niesklasyfikowanych
F05.1,Majaczenie nałożone na otępienie
F07.0,Organiczne zaburzenie osobowości
F10.2,Zaburzenia psychiczne i zaburzenia zachowania spowodowane użyciem alkoholu (zespół uzależnienia)
F10.5,Zaburzenia psychiczne i zaburzenia zachowania spowodowane użyciem alkoholu (zaburzenia psychotyczne)
F10.7,Zaburzenia psychiczne i zaburzenia zachowania spowodowane użyciem alkoholu (rezydualne i późno ujawniające się zaburzenia psychotyczne)
F10.8,Zaburzenia psychiczne i zaburzenia zachowania spowodowane użyciem alkoholu (inne zaburzenia psychiczne i zaburzenia zachowania)
F13.2,Zaburzenia psychiczne i zaburzenia zachowania spowodowane przyjmowaniem substancji nasennych i uspakajających (zespół uzależnienia)
F19.2,Zaburzenia psychiczne i zaburzenia zachowania spowodowane naprzemiennym przyjmowaniem środków wyżej wymienionych (F10-F18) i innych środków psychoaktywnych (zespół uzależnienia)
F20.0,Schizofrenia paranoidalna
F20.5,Schizofrenia rezydualna
F20.6,Schizofrenia prosta
F22.0,Zaburzenie urojeniowe
F23.2,Ostre zaburzenie psychotyczne podobne do schizofrenii
F23.8,Inne ostre i przemijające zaburzenia psychotyczne
F30.9,Epizod maniakalny nieokreślony
F31.2,Zaburzenie afektywne dwubiegunowe, obecnie - epizod maniakalny z objawami psychotycznymi
F40.0,Agorafobia
F40.1,Fobie społeczne
F40.2,Specyficzne (izolowane) postacie fobii
F40.8,Inne zaburzenia lękowe w postaci fobii
F40.9,Fobie BNO
F41.0,Zaburzenie lękowe z napadami lęku (lęk paniczny)
F41.1,Zaburzenie lękowe uogólnione
F41.3,Inne mieszane zaburzenia lękowe
F41.8,Inne określone zaburzenia lękowe
F41.9,Zaburzenia lękowe, nieokreślone
F42.9,Natręctwa BNO
F44.0,Amnezja dysocjacyjna
F44.1,Fuga dysocjacyjna
F44.2,Osłupienie dysocjacyjne (stupor dysocjacyjny)
F44.3,Trans i opętanie
F44.4,Dysocjacyjne zaburzenia ruchu
F44.5,Drgawki dysocjacyjne
F44.6,Dysocjacyjne znieczulenia i utrata czucia zmysłowego
F44.7,Mieszane zaburzenia dysocjacyjne (konwersyjne)
F44.8,Inne zaburzenia dysocjacyjne (konwersyjne)
F44.9,Zaburzenia dysocjacyjne (konwersyjne), nieokreślone
F48.9,Zaburzenia nerwicowe, nieokreślone
F50.0,Jadłowstręt psychiczny (anorexia nervosa)
F50.1,Jadłowstręt psychiczny atypowy
F50.2,Żarłoczność psychiczna (Bulimia nervosa)
F50.3,Atypowa żarłoczność psychiczna
F50.4,Przejadanie się związane z innymi czynnikami psychologicznymi
F50.5,Wymioty związane z innymi czynnikami psychologicznymi
F50.8,Inne zaburzenia odżywiania się
F50.9,Zaburzenia odżywiania się, nieokreślone
F51.0,Bezsenność nieorganiczna
F51.1,Nieorganiczna hipersomnia
F51.2,Nieorganiczne zaburzenia rytmu snu i czuwania
F51.3,Somnambulizm (sennowłóctwo)
F51.4,Lęki nocne
F51.5,Koszmary senne
F51.8,Inne organiczne zaburzenia snu
F51.9,Nieorganiczne zaburzenia snu, nieokreślone
F53.1,Ciężkie zaburzenia psychiczne i zaburzenia zachowania związane z porodem, a nie wykazane w innym miejscu
F60.1,Osobowość schizoidalna
F60.4,Osobowość histrioniczna
F60.5,Osobowość anankastyczna
F60.9,Zaburzenia osobowości BNO
F61,Zaburzenia osobowości mieszane i inne
F71.9,Upośledzenie umysłowe umiarkowane (bez wymienienia zmian w zachowaniu)
F72.9,Upośledzenie umysłowe znaczne (bez wymienienia zmian w zachowaniu)
F79.9,Upośledzenie umysłowe, nieokreślone (bez wymienienia zmian w zachowaniu)
F84.0,Autyzm dziecięcy
F84.1,Autyzm atypowy
F84.2,Zespół Retta
F89,Zaburzenie rozwoju psychicznego (psychologicznego), nieokreślone
F90.0,Zaburzenie aktywności i uwagi
F91.0,Zaburzenie zachowania ograniczone do środowiska rodzinnego
F91.1,Zaburzenie zachowania z nieprawidłowym procesem socjalizacji
F91.3,Zaburzenie opozycyjno-buntownicze
F91.8,Inne zaburzenia zachowania
F91.9,Zaburzenie zachowania, nieokreślone
F93.9,Zaburzenie emocjonalne okresu dzieciństwa, nieokreślone
F95.0,Tiki przemijające
F95.1,Przewlekłe tiki ruchowe lub głosowe (wokalne)
F95.2,Zespół tików głosowych i ruchowych (zespół Giles de la Tourette)
F95.8,Inne tiki
F95.9,Tiki, nieokreślone
F98.0,Moczenie mimowolne (enuresis) nieorganiczne
F98.1,Zanieczyszczanie się kałem (encopresis) nieorganiczne
F98.2,Zaburzenie odżywiania w niemowlęctwie i dzieciństwie
F98.3,Pica w niemowlęctwie lub dzieciństwie
F98.9,Zaburzenia zachowania i emocji rozpoczynające się zwykle w dzieciństwie lub w wieku młodzieńczym, nieokreślone
F99,Zaburzenie psychiczne, inaczej nieokreślone
G00.0,Zapalenie opon mózgowych wywołane przez Hamoephilus influenzae
G00.1,Zapalenie opon mózgowych pneumokokowe
G00.2,Zapalenie opon mózgowych paciorkowcowe
G00.3,Zapalenie opon mózgowych gronkowcowe
G00.8,Inne bakteryjne zapalenia opon mózgowych
