A01, Badania laboratoryjne i inne -> Analityka -> Badanie ogólne moczu (profil)
16.29, Zabiegi w zakresie oczodołów i gałek ocznych -> Zabiegi diagnostyczne w zakresie oczodołu i gałki ocznej -> Gałka oczna/ oczodół - zabiegi diagnostyczne - inne
16.31, Zabiegi w zakresie oczodołów i gałek ocznych -> Wytrzewienie gałki ocznej -> Wytrzewienie gałki ocznej z jednoczasowym wszczepem protezy
16.39, Zabiegi w zakresie oczodołów i gałek ocznych -> Wytrzewienie gałki ocznej -> Inne wytrzewienie gałki ocznej
16.41, Zabiegi w zakresie oczodołów i gałek ocznych -> Wyłuszczenie gałki ocznej -> Wyłuszczenie gałki ocznej z jednoczesnym założeniem wszczepu do torebki Tenona z przyczepieniem mięśni
16.42, Zabiegi w zakresie oczodołów i gałek ocznych -> Wyłuszczenie gałki ocznej -> Wyłuszczenie gałki ocznej z innym jednoczesnym wszczepieniem
16.49, Zabiegi w zakresie oczodołów i gałek ocznych -> Wyłuszczenie gałki ocznej -> Inna enukleacja gałki ocznej
16.51, Zabiegi w zakresie oczodołów i gałek ocznych -> Wytrzewienie oczodołu -> Wytrzewienie oczodołu z usunięciem przyległych struktur
16.52, Zabiegi w zakresie oczodołów i gałek ocznych -> Wytrzewienie oczodołu -> Wytrzewienie gałki ocznej z usunięciem kości
16.59, Zabiegi w zakresie oczodołów i gałek ocznych -> Wytrzewienie oczodołu -> Wytrzewienie gałki ocznej - inne
16.61, Zabiegi w zakresie oczodołów i gałek ocznych -> Zabiegi wtórne po usunięciu gałki ocznej -> Wtórne wprowadzenie wszczepu do oczodołu
16.62, Zabiegi w zakresie oczodołów i gałek ocznych -> Zabiegi wtórne po usunięciu gałki ocznej -> Kontrola/ powtórne wprowadzenie wszczepu do oczodołu
16.63, Zabiegi w zakresie oczodołów i gałek ocznych -> Zabiegi wtórne po usunięciu gałki ocznej -> Kontrola oczodołu po enukleacji z przeszczepem
16.64, Zabiegi w zakresie oczodołów i gałek ocznych -> Zabiegi wtórne po usunięciu gałki ocznej -> Kontrola oczodołu po enukleacji - inna
16.65, Zabiegi w zakresie oczodołów i gałek ocznych -> Zabiegi wtórne po usunięciu gałki ocznej -> Wtórny wszczep po wytrzewieniu oczodołu
16.66, Zabiegi w zakresie oczodołów i gałek ocznych -> Zabiegi wtórne po usunięciu gałki ocznej -> Kontrola oczodołu po wypatroszeniu - inne
16.69, Zabiegi w zakresie oczodołów i gałek ocznych -> Zabiegi wtórne po usunięciu gałki ocznej -> Zabiegi po usunięciu gałki ocznej - inne
16.71, Zabiegi w zakresie oczodołów i gałek ocznych -> Usunięcie wszczepu oczodołu lub gałki ocznej -> Usunięcie wszczepu z oczodołu
16.72, Zabiegi w zakresie oczodołów i gałek ocznych -> Usunięcie wszczepu oczodołu lub gałki ocznej -> Usunięcie wszczepu gałki ocznej
16.81, Zabiegi w zakresie oczodołów i gałek ocznych -> Zaopatrzenie urazu gałki ocznej i oczodołu -> Zaopatrzenie rany oczodołu
16.821, Zabiegi w zakresie oczodołów i gałek ocznych -> Zaopatrzenie urazu gałki ocznej i oczodołu -> Zaopatrzenie pękniętej gałki ocznej -> Zabieg naprawczy wielu struktur oka
16.829, Zabiegi w zakresie oczodołów i gałek ocznych -> Zaopatrzenie urazu gałki ocznej i oczodołu -> Zaopatrzenie pękniętej gałki ocznej -> Zaopatrzenie pękniętej gałki ocznej - inne
16.89, Zabiegi w zakresie oczodołów i gałek ocznych -> Zaopatrzenie urazu gałki ocznej i oczodołu -> Zaopatrzenie urazu oka/ oczodołu - inne
16.91, Zabiegi w zakresie oczodołów i gałek ocznych -> Inne zabiegi w zakresie oczodołu i gałki ocznej -> Wstrzyknięcie pozagałkowe leku
16.92, Zabiegi w zakresie oczodołów i gałek ocznych -> Inne zabiegi w zakresie oczodołu i gałki ocznej -> Wycięcie zmiany oczodołu
16.93, Zabiegi w zakresie oczodołów i gałek ocznych -> Inne zabiegi w zakresie oczodołu i gałki ocznej -> Wycięcie zmiany oka - inne struktury
16.94, Zabiegi w zakresie oczodołów i gałek ocznych -> Inne zabiegi w zakresie oczodołu i gałki ocznej -> Osteoplastyka oczodołu
16.95, Zabiegi w zakresie oczodołów i gałek ocznych -> Inne zabiegi w zakresie oczodołu i gałki ocznej -> Dekompresja oczodołu
16.96, Zabiegi w zakresie oczodołów i gałek ocznych -> Inne zabiegi w zakresie oczodołu i gałki ocznej -> Wszczepienie protezy lub ekspandera osmotycznego do oczodołu
16.98, Zabiegi w zakresie oczodołów i gałek ocznych -> Inne zabiegi w zakresie oczodołu i gałki ocznej -> Operacje oczodołu - inne
16.99, Zabiegi w zakresie oczodołów i gałek ocznych -> Inne zabiegi w zakresie oczodołu i gałki ocznej -> Operacje gałki ocznej - inne
18.011, Zabiegi w zakresie ucha zewnętrznego -> Nacięcie ucha zewnętrznego -> Przebicie płatka usznego -> Przebicie małżowiny usznej
18.02, Zabiegi w zakresie ucha zewnętrznego -> Nacięcie ucha zewnętrznego -> Nacięcie zewnętrznego przewodu słuchowego
18.09, Zabiegi w zakresie ucha zewnętrznego -> Nacięcie ucha zewnętrznego -> Nacięcie ucha zewnętrznego - inne
18.111, Zabiegi w zakresie ucha zewnętrznego -> Zabiegi diagnostyczne w zakresie ucha zewnętrznego -> Wziernikowanie ucha -> Otoskopia
18.112, Zabiegi w zakresie ucha zewnętrznego -> Zabiegi diagnostyczne w zakresie ucha zewnętrznego -> Wziernikowanie ucha -> Videootoskopia
18.12, Zabiegi w zakresie ucha zewnętrznego -> Zabiegi diagnostyczne w zakresie ucha zewnętrznego -> Biopsja ucha zewnętrznego
18.19, Zabiegi w zakresie ucha zewnętrznego -> Zabiegi diagnostyczne w zakresie ucha zewnętrznego -> Zabiegi diagnostyczne ucha zewnętrznego - inne
18.21, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Przetoka przeduszna - wycięcie
18.291, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie innej zmiany ucha zewnętrznego -> Przyżeganie ucha zewnętrznego
18.292, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie innej zmiany ucha zewnętrznego -> Koagulacja ucha zewnętrznego
18.293, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie innej zmiany ucha zewnętrznego -> Kriochirurgia ucha zewnętrznego
18.294, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie innej zmiany ucha zewnętrznego -> Łyżeczkowanie ucha zewnętrznego
18.295, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie innej zmiany ucha zewnętrznego -> Elektrokoagulacja ucha zewnętrznego
18.296, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie innej zmiany ucha zewnętrznego -> Wyłuszczenie w zakresie ucha zewnętrznego
18.297, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie innej zmiany ucha zewnętrznego -> Wycięcie egzostozy zewnętrznego przewodu słuchowego
18.298, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie innej zmiany ucha zewnętrznego -> Wycięcie wrodzonych przydatków przedusznych
18.299, Zabiegi w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie zmiany w zakresie ucha zewnętrznego -> Wycięcie lub zniszczenie innej zmiany ucha zewnętrznego -> Częściowe wycięcie małżowiny usznej
18.31, Zabiegi w zakresie ucha zewnętrznego -> Inne wycięcie w zakresie ucha zewnętrznego -> Radykalne wycięcie zmiany ucha zewnętrznego
18.32, Zabiegi w zakresie ucha zewnętrznego -> Inne wycięcie w zakresie ucha zewnętrznego -> Amputacja ucha zewnętrznego
18.39, Zabiegi w zakresie ucha zewnętrznego -> Inne wycięcie w zakresie ucha zewnętrznego -> Wycięcie ucha zewnętrznego - inne
18.4, Zabiegi w zakresie ucha zewnętrznego -> Szycie rany ucha zewnętrznego
18.5, Zabiegi w zakresie ucha zewnętrznego -> Chirurgiczna korekcja odstających uszu
18.61, Zabiegi w zakresie ucha zewnętrznego -> Rekonstrukcja zewnętrznego przewodu słuchowego -> Plastyka przewodu słuchowego ucha zewnętrznego
18.62, Zabiegi w zakresie ucha zewnętrznego -> Rekonstrukcja zewnętrznego przewodu słuchowego -> Wytworzenie [odtworzenie] zewnętrznego przewodu słuchowego części kostnej
18.63, Zabiegi w zakresie ucha zewnętrznego -> Rekonstrukcja zewnętrznego przewodu słuchowego -> Wytworzenie [odtworzenie] zewnętrznego przewodu słuchowego części skórnej z przeszczepem skóry
18.711, Zabiegi w zakresie ucha zewnętrznego -> Inna plastyka ucha zewnętrznego -> Wytworzenie (lub rekonstrukcja) małżowiny usznej -> Zakotwiczenie protezy zewnętrznej małżowiny usznej
18.712, Zabiegi w zakresie ucha zewnętrznego -> Inna plastyka ucha zewnętrznego -> Wytworzenie (lub rekonstrukcja) małżowiny usznej -> Rekonstrukcja małżowiny i przewodu słuchowego
18.713, Zabiegi w zakresie ucha zewnętrznego -> Inna plastyka ucha zewnętrznego -> Wytworzenie (lub rekonstrukcja) małżowiny usznej -> Rekonstrukcja małżowiny usznej/ przeszczep chrząstki autogennej
18.72, Zabiegi w zakresie ucha zewnętrznego -> Inna plastyka ucha zewnętrznego -> Przyszycie amputowanego ucha
18.791, Zabiegi w zakresie ucha zewnętrznego -> Inna plastyka ucha zewnętrznego -> Operacje plastyczne ucha zewnętrznego - inne -> Otoplastyka - nie określona inaczej
18.792, Zabiegi w zakresie ucha zewnętrznego -> Inna plastyka ucha zewnętrznego -> Operacje plastyczne ucha zewnętrznego - inne -> Przeszczep skóry zamałżowinowy
18.793, Zabiegi w zakresie ucha zewnętrznego -> Inna plastyka ucha zewnętrznego -> Operacje plastyczne ucha zewnętrznego - inne -> Operacja obwisłych uszu
18.9, Zabiegi w zakresie ucha zewnętrznego -> Operacje ucha zewnętrznego - inne
19.01, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Mobilizacja strzemiączka -> Rozdział przez ucisk pośredni na wyrostek
19.02, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Mobilizacja strzemiączka -> Powtórna mobilizacja strzemiączka
19.03, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Mobilizacja strzemiączka -> Mobilizacja strzemiączka przez jego ramiona
19.09, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Mobilizacja strzemiączka -> Inna mobilizacja strzemiączka
19.111, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Wycięcie strzemiączka -> Wycięcie strzemiączka z przeszczepem kowadełka -> Wycięcie strzemiączka z przeszczepem homogennym kowadełka
19.112, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Wycięcie strzemiączka -> Wycięcie strzemiączka z przeszczepem kowadełka -> Wycięcie strzemiączka z protezą kowadełka
19.19, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Wycięcie strzemiączka -> Inne wycięcie strzemiączka
19.21, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Rewizja po wycięciu strzemiączka -> Rewizja po wycięciu strzemiączka z przeszczepem kowadełka
19.29, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Rewizja po wycięciu strzemiączka -> Rewizja po wycięciu strzemiączka - inna
19.31, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Inne operacje na kosteczkach słuchowych -> Wycięcie kowadełka – nie określone inaczej
19.32, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Inne operacje na kosteczkach słuchowych -> Wycięcie kosteczek słuchowych - nie określone inaczej
19.33, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Inne operacje na kosteczkach słuchowych -> Rekonstrukcja łańcucha kosteczek słuchowych - II etap
19.34, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Inne operacje na kosteczkach słuchowych -> Ossikuloplastyka
19.35, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Inne operacje na kosteczkach słuchowych -> Rekonstrukcja łańcuszka kosteczek słuchowych i błony bębenkowej
19.41, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Zamykanie otworów błony bębenkowej (myringoplastyka) -> Nadbębenkowa plastyka
19.42, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Zamykanie otworów błony bębenkowej (myringoplastyka) -> Plastyka błony bębenkowej za pomocą drażnienia / kauteryzacji
19.43, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Zamykanie otworów błony bębenkowej (myringoplastyka) -> Plastyka błony bębenkowej z użyciem przeszczepu
19.44, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Zamykanie otworów błony bębenkowej (myringoplastyka) -> Tympanoplastyka
19.52, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Inne rodzaje tympanoplastyki -> Tympanoplastyka typu II
19.53, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Inne rodzaje tympanoplastyki -> Tympanoplastyka typu III
19.54, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Inne rodzaje tympanoplastyki -> Tympanoplastyka typu IV
19.55, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Inne rodzaje tympanoplastyki -> Tympanoplastyka typu V
19.6, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Rewizja po tympanoplastyce
19.91, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Pozostałe operacje naprawcze ucha środkowego  -> Zamknięcie przetoki wyrostka sutkowatego
19.92, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Pozostałe operacje naprawcze ucha środkowego  -> Mioplastyka wyrostka sutkowatego
19.93, Zabiegi rekonstrukcyjne w zakresie ucha środkowego -> Pozostałe operacje naprawcze ucha środkowego  -> Obliteracja jamy bębenkowo-sutkowej
20.01, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie błony bębenkowej -> Nacięcie błony bębenkowej z założeniem drenika wentylacyjnego
20.091, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie błony bębenkowej -> Inne nacięcie błony bębenkowej -> Aspiracja ucha środkowego – nieokreślona inaczej
20.099, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie błony bębenkowej -> Inne nacięcie błony bębenkowej -> Nacięcie błony bębenkowej - inne
20.1, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Usunięcie rurki tympanostomijnej
20.21, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Otwarcie wyrostka sutkowatego i ucha środkowego -> Otwarcie wyrostka sutkowatego
20.22, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Otwarcie wyrostka sutkowatego i ucha środkowego -> Otwarcie komory powietrznej piramidy kości skalistej
20.231, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Otwarcie wyrostka sutkowatego i ucha środkowego -> Otwarcie ucha środkowego -> Attykotomia
20.232, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Otwarcie wyrostka sutkowatego i ucha środkowego -> Otwarcie ucha środkowego -> Otwarcie jamy bębenkowej
20.233, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Otwarcie wyrostka sutkowatego i ucha środkowego -> Otwarcie ucha środkowego -> Usunięcie zrostów w zakresie jamy bębenkowej
20.31, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Zabiegi diagnostyczne na uchu wewnętrznym i środkowym -> Elektrokochleografia
20.32, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Zabiegi diagnostyczne na uchu wewnętrznym i środkowym -> Biopsja ucha środkowego i wewnętrznego
20.391, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Zabiegi diagnostyczne na uchu wewnętrznym i środkowym -> Inne zabiegi diagnostyczne ucha środkowego i wewnętrznego -> Posturografia
20.399, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Zabiegi diagnostyczne na uchu wewnętrznym i środkowym -> Inne zabiegi diagnostyczne ucha środkowego i wewnętrznego -> Zabiegi diagnostyczne ucha środkowego i wewnętrznego - inne
20.41, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacja wyrostka sutkowatego i ucha środkowego -> Antromastoidektomia
20.42, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacja wyrostka sutkowatego i ucha środkowego -> Mastoidektomia radykalna
20.491, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacja wyrostka sutkowatego i ucha środkowego -> Inne operacje ucha środkowego -> Attykoantrostomia
20.492, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacja wyrostka sutkowatego i ucha środkowego -> Inne operacje ucha środkowego -> Mastoidektomia - nie określona inaczej
20.493, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacja wyrostka sutkowatego i ucha środkowego -> Inne operacje ucha środkowego -> Radykalna zmodyfikowana mastoidektomia
20.51, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne wycięcie w zakresie ucha środkowego -> Wycięcie zmiany ucha środkowego
20.591, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne wycięcie w zakresie ucha środkowego -> Wycięcia - inne -> Usunięcie szczytu piramidy kości skalistej
20.592, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne wycięcie w zakresie ucha środkowego -> Wycięcia - inne -> Wycięcie jamy bębenkowej
20.599, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne wycięcie w zakresie ucha środkowego -> Wycięcia - inne -> Wycięcie w zakresie ucha środkowego - inne
20.611, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Fenestracja ucha wewnętrznego -> Fenestracja ucha wewnętrznego -> Fenestracja błędnika z użyciem przeszczepu skórnego/ żylnego
20.612, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Fenestracja ucha wewnętrznego -> Fenestracja ucha wewnętrznego -> Fenestracja kanałów półkolistych z użyciem przeszczepu skórnego/ żylnego
20.613, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Fenestracja ucha wewnętrznego -> Fenestracja ucha wewnętrznego -> Fenestracja przedsionka z użyciem przeszczepu skórnego/ żylnego
20.62, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Fenestracja ucha wewnętrznego -> Rewizja po fenestracji ucha wewnętrznego
20.71, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Wytworzenie przetoki endolimfatycznej
20.721, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Wstrzyknięcie do ucha wewnętrznego -> Ablacja przez wstrzyknięcie alkoholu do ucha wewnętrznego
20.722, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Wstrzyknięcie do ucha wewnętrznego -> Ablacja przez wstrzyknięcie alkoholu do kanałów półkolistych
20.723, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Wstrzyknięcie do ucha wewnętrznego -> Ablacja przez wstrzyknięcie alkoholu do przedsionka
20.791, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Inne nacięcie/ wycięcie/ zniszczenie ucha wewnętrznego -> Odbarczenie błędnika
20.792, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Inne nacięcie/ wycięcie/ zniszczenie ucha wewnętrznego -> Drenaż ucha wewnętrznego
20.793, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Inne nacięcie/ wycięcie/ zniszczenie ucha wewnętrznego -> Wytworzenie przetoki śródchłonki z woreczka przedsionka
20.794, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Inne nacięcie/ wycięcie/ zniszczenie ucha wewnętrznego -> Wytworzenie przetoki błędnika
20.795, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Inne nacięcie/ wycięcie/ zniszczenie ucha wewnętrznego -> Nacięcie woreczka przedsionka
20.796, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Inne nacięcie/ wycięcie/ zniszczenie ucha wewnętrznego -> Wycięcie błędnika przezbębenkowo
20.797, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Inne nacięcie/ wycięcie/ zniszczenie ucha wewnętrznego -> Otwarcie błędnika kostnego
20.798, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Nacięcie, wycięcie i zniszczenie ucha wewnętrznego -> Inne nacięcie/ wycięcie/ zniszczenie ucha wewnętrznego -> Drenaż perylimfatyczny
20.81, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje trąbki Eustachiusza -> Kateteryzacja trąbki Eustachiusza
20.82, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje trąbki Eustachiusza -> Przedmuchanie trąbki Eustachiusza
20.83, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje trąbki Eustachiusza -> Wstrzyknięcie pasty teflonowej do trąbki Eustachiusza
20.84, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje trąbki Eustachiusza -> Wdmuchnięcie kwasu bornego/ salicylowego do trąbki Eustachiusza
20.85, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje trąbki Eustachiusza -> Przedmuchiwanie trąbki Estachiusza metodą Politzera
20.91, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Tympanosympatektomia
20.92, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Rewizja po operacji wyrostka sutkowatego i ucha środkowego
20.931, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Naprawa okienka owalnego/ okrągłego -> Zamknięcie przetoki okienka owalnego
20.932, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Naprawa okienka owalnego/ okrągłego -> Zamknięcie przetoki perylimfatycznej
20.933, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Naprawa okienka owalnego/ okrągłego -> Zamknięcie przetoki okienka okrągłego
20.94, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Wstrzyknięcie do jamy bębenkowej
20.951, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Wszczepienie elektromagnetycznego przyrządu słuchowego (protezy słuchowej) -> Wszczepienie przyrządu słuchowego (protezy słuchowej) opartego o przewodnictwo kostne
20.96, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Wszczepienie/ wymiana protezy ślimaka - nie określone inaczej
20.97, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Wszczepienie/ wymiana jednokanałowej protezy ślimaka
20.98, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Wszczepienie/ wymiana wielokanałowej protezy ślimaka
20.991, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje ucha środkowego/ wewnętrznego - inne -> Wszczepienie/ wymiana implantu ucha środkowego
20.992, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje ucha środkowego/ wewnętrznego - inne -> Wszczepienie/ wymiana implantu pniowego
20.993, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje ucha środkowego/ wewnętrznego - inne -> Wszczepienie/ wymiana innego implantu słuchowego
20.994, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje ucha środkowego/ wewnętrznego - inne -> Wymiana elektronicznych protez słuchu – procesora mowy
20.995, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje ucha środkowego/ wewnętrznego - inne -> Naprawa elektronicznych protez słuchu – procesora mowy (odbiornika, elektrod)
20.999, Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Inne zabiegi w zakresie ucha środkowego i wewnętrznego -> Operacje ucha środkowego/ wewnętrznego - inne -> Operacje ucha środkowego/ wewnętrznego - inne
21.01, Zabiegi w zakresie nosa -> Opanowanie krwotoku z nosa -> Przednia tamponada nosa przy krwotoku
21.02, Zabiegi w zakresie nosa -> Opanowanie krwotoku z nosa -> Tylna i przednia tamponada nosa przy krwotoku
21.03, Zabiegi w zakresie nosa -> Opanowanie krwotoku z nosa -> Przyżeganie przy krwotoku z nosa i tamponada
21.04, Zabiegi w zakresie nosa -> Opanowanie krwotoku z nosa -> Podwiązanie tt. sitowych przy krwotoku z nosa
21.05, Zabiegi w zakresie nosa -> Opanowanie krwotoku z nosa -> Podwiązanie t. szczękowej przy krwotoku z nosa
21.06, Zabiegi w zakresie nosa -> Opanowanie krwotoku z nosa -> Podwiązanie t. szyjnej zewnętrznej przy krwotoku z nosa
21.07, Zabiegi w zakresie nosa -> Opanowanie krwotoku z nosa -> Wycięcie śluzówki/ przeszczep skóry na przegrodę i boczną ścianę nosa przy krwotoku z nosa
21.09, Zabiegi w zakresie nosa -> Opanowanie krwotoku z nosa -> Opanowanie krwotoku z nosa - inne
21.11, Zabiegi w zakresie nosa -> Nacięcie nosa -> Nacięcie chrząstki nosa
21.12, Zabiegi w zakresie nosa -> Nacięcie nosa -> Nacięcie skóry nosa
21.13, Zabiegi w zakresie nosa -> Nacięcie nosa -> Nacięcie przegrody nosowej
21.14, Zabiegi w zakresie nosa -> Nacięcie nosa -> Drenaż ropnia przegrody nosa
21.15, Zabiegi w zakresie nosa -> Nacięcie nosa -> Nacięcie małżowiny nosa - (konchotomia) częściowa podśluzówkowa
21.18, Zabiegi w zakresie nosa -> Nacięcie nosa -> Endoskopowy drenaż ropnia przegrody nosa
21.21, Zabiegi w zakresie nosa -> Zabiegi diagnostyczne w zakresie nosa -> Wziernikowanie nosa
21.22, Zabiegi w zakresie nosa -> Zabiegi diagnostyczne w zakresie nosa -> Biopsja nosa
21.291, Zabiegi w zakresie nosa -> Zabiegi diagnostyczne w zakresie nosa -> Inne zabiegi diagnostyczne nosa -> Rinoskopia przednia
